Gene	BmFA2a	BmFA2b	BmFA2c	BmFA2d	BmFA2e	BmFA3a	BmFA3b	BmFA3c	BmFA3d	BmFA3e	BmFA4d	BmMA2a	BmMA2b	BmMA2c	BmMA2d	BmMA2e	BmMA3a	BmMA3b	BmMA3c	BmMA3d	BmMA3e	BmMA4a	BmMA4b	BmMA4c	BmMA4e
Gene	6	6	6	6	6	16	16	16	16	16	24	6	6	6	6	6	16	16	16	16	16	24	24	24	24
11287 1.5397499 1.32449529 1.3338381 1.62385778 1.61204797 1.59719437 1.46900697 1.49309632 1.62308868 1.17678947 1.57542256 1.14138923 1.23362473 1.40255229 1.65416234 1.70180894 1.58909653 1.37447302 1.34314828 1.3919355 1.42048208 1.75100469 1.21481569 1.52314529 1.71987948
11668 -0.04763205 -0.072649265 -0.289717995 -0.0205584 -0.066451785 -0.222453685 -0.24554869 -0.13413435 -0.005197245 -0.233841055 -0.035445825 -0.190291355 -0.230591875 -0.153098005 0.00217531 -0.113774225 -0.27766353 -0.068687255 -0.24379905 -0.14644002 -0.200723345 -0.14712061 -0.09217879 -0.009695905 0.117382975
11669 -0.5232311 -0.494151 -0.3150187 -0.599528 -0.8648814 -0.5605458 -0.456289 -0.7646893 -0.5875096 -0.2953782 -0.6477904 -0.4005652 -0.3341915 -0.3202634 -0.5863992 -0.5421664 -0.3762718 -0.4016601 -0.4930447 -0.4068674 -0.7077149 -0.6723347 -0.2564479 -0.6509007 -0.6640726
11676 1.70740893 1.7948041 1.52575694 1.57045367 1.77988025 1.67872968 1.49945968 1.76826076 1.7511881 1.5326856 1.65914203 1.67695777 1.63037584 1.68033105 1.7609216 1.72865819 1.69426201 1.59062854 1.56890732 1.67386415 1.75794031 1.84042181 1.70231305 1.64890253 1.56854216
11684 0.83439018 1.10032603 1.11094362 0.78527249 0.50346141 0.8949589 0.99260984 0.85767428 0.60224768 1.47286298 0.85149181 1.11519682 1.04405736 0.52334424 0.7315202 0.70217145 1.22476 1.13150407 0.99326269 0.86385946 0.90142956 0.52450428 1.04810305 0.56060463 0.46230892
11685 0.26255849 0.2884654 0.39513119 0.35766027 0.27120329 0.57988938 0.20361683 0.36272887 0.38655927 0.5788143 0.36666312 0.1551583 0.52057207 0.37554325 0.44461406 0.39188238 0.444816 0.40107021 0.49105167 0.39411971 0.4286357 0.40859305 0.21360591 0.37657618 0.27718575
11690 -0.2128786 0.05076201 0.30731701 -0.0344054 -0.325357 -0.2648966 -0.0367145 -0.1269128 0.16996964 0.14766734 0.31019885 0.09827449 0.16291659 0.2329188 -0.0156052 -0.2726875 0.31780793 0.21128563 0.1241264 -0.012123 0.3069298 -0.1435596 0.1788898 -0.1028473 -0.0895813
11692 1.04401218 1.33395608 1.16447792 1.00053058 1.14091211 1.04587766 1.06930287 0.9584693 0.89332608 1.41627373 1.07238108 1.27890659 1.20557441 0.82835767 0.90571989 1.03368577 1.29513021 1.10098875 1.26094126 1.09102491 1.24340137 0.75077713 1.15087708 0.78872159 0.64399152
11720 0.17158936 0.26321564 -0.017807 0.1006703 -0.2175737 0.12339597 0.31245467 0.05333111 -0.0897127 0.32099094 0.21779608 0.34954845 0.19267604 0.03005489 -0.0847037 -0.0890158 0.24854949 0.14089146 0.10621104 0.13013191 -0.0098801 0.05039896 0.23669995 0.19827651 0.00288792
11732 -0.0297779 -0.3575308 -0.06660095 -0.2011309 -0.31566145 -0.061686785 -0.2235074 -0.3575207 -0.014047375 -0.63302245 -0.069907575 -0.3481872 -0.47183615 -0.23550837 -0.03234656 -0.068169055 -0.16901365 -0.4520663 -0.33251055 -0.109438255 -0.1982623 -0.2588676 -0.219860505 0.01635257 -0.006152895
11735 -1.339222593 -1.246498767 -1.443361867 -1.1537104 -1.23173555 -1.32074289 -1.339534607 -1.457280393 -1.3687873 -1.3224111 -1.282836563 -1.275623733 -1.3886454 -1.577169667 -1.31767291 -1.547408583 -1.32661353 -1.384150467 -1.86167323 -1.294519047 -1.58870495 -1.43400706 -1.350617733 -1.401538827 -1.40159771
11736 -1.221411633 -1.143336667 -0.961411333 -1.2201453 -1.402784867 -1.026554533 -1.088160433 -1.331635233 -1.049511433 -0.994944667 -1.1868927 -1.175937167 -1.011029 -0.984218033 -1.253967567 -1.4011377 -1.086968567 -0.952798133 -1.098296767 -1.1279787 -1.0714072 -1.218720967 -1.033234433 -1.1625837 -1.177045933
